集会时间,集会名称,集会口号,集会描述,来源,事件时间,详情描述,激烈程度,事件来源,prefecture_name,district,地址,longitude,latitude,人数,角色
2019-04-11 20:13:22,19.11.11“三罢”行动,,11日早上「三_」行_，大批示威者今早在香港西_河站外一_非法聚集，有人不_叫_指_在_警_，警方施放胡椒___散。此後在制服示威者期_，警方疑遭到戴口罩暴徒暴力攻_，警方拔_，___出____，_人疑似受_倒地。有暴徒清晨向港_路___物，及在多_主要道路_置路障，_致___火炭北行停止服_，多_塞_及港_部分路__停服_。,http://www.takungpao.com.hk/hongkong/text/2019/1111/372243.html http://www.takungpao.com.hk/hongkong/text/2019/1111/372255.html http://www.takungpao.com.hk/hongkong/text/2019/1112/372671.html,2019-04-11 16:40:48,搞事者_起今日(11日)早上「三_」行_，大批示威者今早在香港西_河站外一_非法聚集。有暴徒清晨向港_路___物，及在多_主要道路_置路障，_致___火炭北行停止服_，多_塞_及港_部分路__停服_。 有人不_叫_指_在_警_，警方施放胡椒___散。此後在_散、拘捕_程中，有蒙面暴徒企___疑犯及警__支，警_被迫__自_，之後警方追捕暴徒，期_拔__中_人。,5,http://www.takungpao.com.hk,香港岛,东区,西湾河站外一带,114.227047,22.279125,0,示威暴动者
2019-11-11 08:17:57,19.11.11“三罢”行动,,11日早上「三_」行_，大批示威者今早在香港西_河站外一_非法聚集，有人不_叫_指_在_警_，警方施放胡椒___散。此後在制服示威者期_，警方疑遭到戴口罩暴徒暴力攻_，警方拔_，___出____，_人疑似受_倒地。有暴徒清晨向港_路___物，及在多_主要道路_置路障，_致___火炭北行停止服_，多_塞_及港_部分路__停服_。,http://www.takungpao.com.hk/hongkong/text/2019/1111/372245.html,2019-04-11 16:40:48,大公文_全媒__道:暴陡_本加_大肆破_，再次堵路阻_交通，__迫使市民被_工被__。 香港多_大_今日（11日）早上相_宣布取消今日_堂。 香港理工大_今早表示理大指，防暴警察早上追截在_隧堵路的人，一度_入理大校_，警_目前已撤_校___。,2,http://www.takungpao.com.hk,九龙半岛,油尖旺区,香港特别行政区油尖旺区香港理工大学,114.149474,22.287302,0,警方
2019-11-14 14:29:21,19.11.11“三罢”行动,,11日早上「三_」行_，大批示威者今早在香港西_河站外一_非法聚集，有人不_叫_指_在_警_，警方施放胡椒___散。此後在制服示威者期_，警方疑遭到戴口罩暴徒暴力攻_，警方拔_，___出____，_人疑似受_倒地。有暴徒清晨向港_路___物，及在多_主要道路_置路障，_致___火炭北行停止服_，多_塞_及港_部分路__停服_。,http://www.takungpao.com.hk/hongkong/text/2019/1114/374157.html,2019-04-11 16:40:48,香港教育局今日（14日）宣布，由於堵路及阻_交通服_情_持_，而且___泛，基於安全考_，全港_校（包括幼稚_、小_、中_及特殊_校）明日（15日）至星期日（17日）__停_。 因黑衣暴徒_日_起所_「三_」行__重影_全港交通，_保安全，教育局昨日已通知全港_校今日停_。,,http://www.takungpao.com.hk,香港岛,湾仔区,香港特别行政区湾仔区胡忠大厦,114.259359,22.303023,0,政府官员
2019-09-21 15:11:17,19.07.21元朗袭击事件,,本次事件双方互相指责，后续每月21号都发生静坐抗议，但都有流血冲突。,https://zh.wikipedia.org/wiki/元朗__事件#2019年9月21日,2019-07-21 15:08:46,这是721元朗袭击事件后续，示威者投掷汽油弹，后警察以催泪弹清场。后网络传片段警察殴打一黄色背心人，警方否认打人。（这里最好我们也看看那个片段）,5,维基百科,新界,元朗区,香港特别行政区元朗区元朗(地铁站),114.040409,22.443354,0,示威暴动者
2019-12-31 12:19:34,19.08-19.12反修例人链活动,,这是一个系列活动，从8.23的香港之路开始，后续响应从8.23一直持续到12.31。,https://orientaldaily.on.cc/cnt/news/20191231/mobile/odn-20191231-1231_00176_015.html,2019-08-23 19:01:49,反修例_波持_半年，早前有警_在直播__前展示_者的身份_，_人_料私______指出，涉事警_的行_表面上可能_反私_保障原_。昨日有__包括珍惜群_及_港之_在下午_起由_仔警察_部_行至私___公署_交信件，抗___公署打_警方_法。_行_四十人_加，部分_加者高__旗及_警__，亦有人在_上___旗__，沿途高叫口_包括「支持警察，_正_法」等。,,维基百科搜索反修例人链活动,香港岛,湾仔区,湾仔警察总部,114.226786,22.30562,0,市民
2019-12-21 12:27:23,19.08-19.12反修例人链活动,,这是一个系列活动，从8.23的香港之路开始，后续响应从8.23一直持续到12.31。,https://orientaldaily.on.cc/cnt/news/20191221/00176_026.html,2019-08-23 19:01:49,警方在民__行前夕反修例_火_藏械案首度__真_，追查後_定目_人物，各_昨晚_行多_反修例集_之_，通_犯在大埔_身，警方_取拘捕行__疑犯反抗，_向警察_了一___。大批警_一_而上，__制服__男子。消息_，警方__一支半自_手_及十五_子_，涉案男子另涉今年一月藏_案被通_。,4,维基百科搜索反修例人链活动,新界,大埔区,大埔翠屏广场,114.1665,22.279561,0,示威暴动者
2019-09-01 22:40:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,政府发声明谴责暴力示威者的破坏行为。,,wiki/和你_2.0,新界,离岛区,香港东涌站,114.259359,22.303023,0,政府官员
2019-09-01 14:00:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://topick.hket.com/article/2441756,2019-09-01 12:30:00,机场聚集黑衣人进行堵塞，警方及机管局严阵以待，示威者高叫口号及拍打墙壁，大批穿上装备的警员在客运大楼通往巴士站的通道上戒备，有人则图爬上水马进入客运大楼。旅客无法经通道前往巴士站，在客运大楼滞留。,1,wiki/和你_2.0,新界,离岛区,香港国际机场客运大楼,114.229904,22.309366,100,示威暴动者
2019-09-01 12:50:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://topick.hket.com/article/2441756,2019-09-01 12:30:00,数百名示威者在机场巴士总站附近站立,,wiki/和你_2.0,新界,离岛区,机场巴士总站,114.163509,22.279438,100,示威暴动者
2019-09-01 17:30:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,东涌站有示威者以硬物破坏闸机。有闸机上盖被掀起，冒出白烟。示威者洒洗洁精，打破站内的显示屏，破坏东涌港铁站内消防水泵。亦有示威者闯入车站控制室内破坏。,2,wiki/和你_2.0,新界,离岛区,港铁东涌站,113.945933,22.285896,100,示威暴动者
2019-09-02 00:20:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,有大批示威者步行到达欣澳一带,1,wiki/和你_2.0,新界,荃湾区,香港特别行政区荃湾区欣澳(地铁站),114.0343,22.330122,1000,示威暴动者
2019-09-01 21:20:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,有大批示威者经北大屿公路离开东涌,1,wiki/和你_2.0,新界,离岛区,香港特别行政区离岛区上海商业银行(庆东街),113.945884,22.285865,1000,示威暴动者
2019-09-01 16:00:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,下午约四时起，大批示威者向机场快线近机场站的路轨投掷大量铁枝、砖头和石头等杂物，更有人闯入机场快线的路轨范围，严重阻碍列车服务。,3,wiki/和你_2.0,新界,葵青区,香港特别行政区葵青区盈翠半岛盈翠半岛(青敬路),114.11146,22.355279,100,示威暴动者
2019-09-01 15:30:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,警方宣布，有大批示威者下午仍然逗留在机场一带，部分人走出附近马路，以大量水马和杂物堵塞航天城交汇处及赤腊角南路一带的马路，企图瘫痪机场一带的现时机场一带的交通非常挤塞。因应现场情况，警方将会采取驱散行动，并警告示威者立即停止违法行为及离开。,1,wiki/和你_2.0,新界,离岛区,航天城交汇处及赤腊角南路,113.946842,22.311349,0,警方
2019-09-01 14:26:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://www.hk01.com/社_新_/370318/9-1__-全日__-日___交通被__-深夜__警民_峙,2019-09-01 12:30:00,青衣站机场快线出入闸机被毁，显示屏被喷漆，现场残留喷漆气味。增值机的显示屏被打碎，地上遗下少量玻璃碎片，所有机器暂停使用，有示威者用喷漆在墙上写下诉求,2,wiki/和你_2.0,新界,离岛区,青衣站机场快线,114.165619,22.277395,100,示威暴动者
2019-09-01 15:24:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://topick.hket.com/article/2441759/?lcc=at,2019-09-01 12:30:00,数百市民英驻港领馆外请愿，要求给予BNO持有人居英权,1,wiki/和你_2.0,香港岛,湾仔区,香港驻港总领事馆,114.166562,22.279676,100,市民
2019-09-01 17:38:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,https://topick.hket.com/article/2441756,2019-09-01 12:30:00,大部分示威者已离开赤腊角。,,wiki/和你_2.0,新界,离岛区,香港特别行政区离岛区赤_角香港国际机场,113.936353,22.304839,0,示威暴动者
2019-09-01 13:00:00,19.09.01机场及北大屿山“和你塞”2.0事件,无,示威者未有理会禁制令，再次在机场发起“和你塞”集会。受此影响，机场快线暂停服务，随后东涌线也全线暂停，出入机场主要干道被示威者堵塞，来往机场的交通均陷于瘫痪状态。旅客及机组人员必须徒步出入机场。  当晚，由于公共交通全线关闭，大批示威者沿北大屿山公路从东涌步行离开，预备步行近20公里回市区。,http://www.thestandnews.com/politics/r-不_更新-_民_起再塞__-__有警戒_-_百市民客_大_外聚集/,2019-09-01 12:30:00,他们不时高呼「光复香港，时代革命」、「五大诉求，缺一不可」等口号，亦有人举起「还眼」和呼吁明日（2日）罢课的标语。 现场气氛暂时平静。,1,wiki/和你_2.0,新界,离岛区,香港国际机场客运大楼,114.163825,22.276284,100,示威暴动者
2019-09-02 12:00:00,19.09.02罢课集会,回应“五大诉求”,香港学界于2019年9月2日所举行的三个罢课集会，分别为大专代表于香港中文大学举办的“九二罢课集会”、由职业训练局学生所举办的“香港知专设计学院罢课集会”及香港众志与青年反修例关注组于爱丁堡广场的“中学生校外集会”，旨在要求政府回应民间的“五大诉求”。,https://zh.wikipedia.org/wiki/2019年9月2日香港__集_,2019-09-02 09:30:00,参与者于大道上聚集并呼吁更多同学参与罢课。,1,https://zh.wikipedia.org/wiki/2019年9月2日香港__集_,九龙半岛,观塘区,香港知专设计学院与设计大道,114.127697,22.349421,0,市民
2019-09-02 15:45:00,19.09.02罢课集会,回应“五大诉求”,香港学界于2019年9月2日所举行的三个罢课集会，分别为大专代表于香港中文大学举办的“九二罢课集会”、由职业训练局学生所举办的“香港知专设计学院罢课集会”及香港众志与青年反修例关注组于爱丁堡广场的“中学生校外集会”，旨在要求政府回应民间的“五大诉求”。,https://www.hk01.com/社_新_/370625/___工-百_大道__黑衫人-中大_生_指三_人出席,2019-09-02 09:30:00,香港中文大学有学生今早在百万大道自发举行开学礼，参与同学大多身穿黑衣、戴上口罩，有同学和嘉宾上台发言。除了中大学生会及多个学系，等均有派员出席，并举起旗帜。 现场人数众多，几乎布满整条百万大道，现场绝大部分人均穿黑衣及戴上口罩。口号之声不绝于耳，主要高呼「光复香港、时代革命」、「五大诉求，缺一不可」、「黑警还眼」等口号。,1,https://zh.wikipedia.org/wiki/2019年9月2日香港__集_,新界,沙田区,香港特别行政区沙田区香港中文大学,114.212345,22.417663,30000,市民
2019-09-02 12:30:00,19.09.02罢课集会,回应“五大诉求”,香港学界于2019年9月2日所举行的三个罢课集会，分别为大专代表于香港中文大学举办的“九二罢课集会”、由职业训练局学生所举办的“香港知专设计学院罢课集会”及香港众志与青年反修例关注组于爱丁堡广场的“中学生校外集会”，旨在要求政府回应民间的“五大诉求”。,https://www.hk01.com/社_新_/370550/___工-_丁堡__集_中_生冒雨坐__-大_指4000人__,2019-09-02 09:30:00,香港众志等参加者大多穿着校服及戴上口罩，胸口挂上“香港加油”的布条举行集会。,1,https://zh.wikipedia.org/wiki/2019年9月2日香港__集_,香港岛,中西区,中环爱丁堡广场,114.184961,22.302117,4000,市民
2019-09-07 16:00:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://www.hk01.com/18_新_/372649/9-7__-_涌太子沙田大埔__澳-_-怒-沿_爆_突,2019-09-07 14:00:00,有示威者破坏东涌站的闸机，防暴警出示黄旗警告。一批示威者离开东涌站后，抵达太子站。防暴警于东涌站外进行驱散，推进至达东路后离去。,1,https://zh.wikipedia.org/wiki/和你_3.0,新界,离岛区,东涌站,113.944321,22.287235,100,警方
2019-09-07 14:30:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://news.rthk.hk/rthk/ch/component/k2/1479385-20190907.htm,2019-09-07 14:00:00,十多名市民静坐在沙田连城广场抗议,1,https://zh.wikipedia.org/wiki/和你_3.0,新界,沙田区,沙田连城广场,114.184961,22.302117,10,市民
2019-09-07 18:00:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://www.hk01.com/18_新_/372649/9-7__-_涌太子沙田大埔__澳-_-怒-沿_爆_突,2019-09-07 14:00:00,原退至东涌消防局外的防暴警举蓝旗，现场示威者见状随即后退。防暴警沿顺东路推进驱散，示威者向市中心方向逃去,1,https://zh.wikipedia.org/wiki/和你_3.0,新界,离岛区,东涌消防局,113.945938,22.283216,0,警方
2019-09-07 23:30:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://zh.wikipedia.org/wiki/和你_3.0,2019-09-07 14:00:00,车站的防暴警员撤退后，部分示威者破坏站内的闸机。,2,https://zh.wikipedia.org/wiki/和你_3.0,新界,大埔区,大埔墟站,114.163398,22.27805,0,示威暴动者
2019-09-07 15:05:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://www.hk01.com/18_新_/372649/9-7__-_涌太子沙田大埔__澳-_-怒-沿_爆_突,2019-09-07 14:00:00,数十名人士聚集港铁东涌站内，其间有人高叫「杀人犯」等口号,1,https://zh.wikipedia.org/wiki/和你_3.0,新界,离岛区,港铁东涌站,113.945933,22.285896,10,示威暴动者
2019-09-07 22:00:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://zh.wikipedia.org/wiki/和你_3.0,2019-09-07 14:00:00,约200人包围车站控制室，其间有人破坏车站闸机和遮蔽闭路电视，防暴警察到场戒备，港铁随即于凌晨关闭将军澳站及关闭港铁连接Popcorn商场的出口。,2,https://zh.wikipedia.org/wiki/和你_3.0,新界,西贡区,将军澳,114.273724,22.314015,200,示威暴动者
